primer	guide	samples
atg7	atg7	1,2,3,4,5,6
beclin1	beclin1	1,2,3,4
camk2g1	camk2g1	1,2,3,4,5,6
ctgfa	ctgfa	1,2,3,4,5,6
EGFP_ORF	EGFP_ORF	1,2,3,4,5,6
gol_ccA	gol_ccA	1,2,3,4,5,6
gol_ccB	gol_ccB	1,2,3,4,5,6
gria3a	gria3a	1,2,3,4,5,6
mitfa_ccA	mitfa_ccA	1,2,3,4,5,6
mitfa_ccB	mitfa_ccB	1,2,3,4,5,6
myl7_8_Gata	myl7_8_Gata	1,2,3,4,5,6
pcdh12	pcdh12	1,2,3,4,5,6
pitx2ab	pitx2ab	1,2,3,4,5,6
pitx2c	pitx2c	1,2,3,4,5,6
spt	spt_ccA	1,2,3,4
spt	spt_ccC	5,6
tbx5a	tbx5a	1,2,3,4,5,6
utx1	utx1	1,2,3,4,5,6
wtx_ccA	wtx_ccA	1,2,3,4,5,6
xirp1	xirp1	1,2,3,4,5,6
gol_ccB_off1	gol_ccB_off1	1,2,3,4,5,6
gol_ccB_off2	gol_ccB_off2	1,2,3,4,5,6
gol_ccB_off3	gol_ccB_off3	1,2,3,4,5,6
gol_ccB_off4	gol_ccB_off4	1,2,3,4,5,6
xirp1_off1	xirp1_off1	1,2,3,4,5,6
xirp1_off2	xirp1_off2	1,2,3,4,5,6
xirp1_off3	xirp1_off3	1,2,3,4,5,6
xirp1_off4	xirp1_off4	1,2,3,4,5,6
hand2_ccB_off1	hand2_ccB_off1	1,2,3,4,5,6
hand2_ccB_off2	hand2_ccB_off2	1,2,3,4,5,6
hand2_ccB_off3	hand2_ccB_off3	1,2,3,4,5,6
hand2_ccB_off4	hand2_ccB_off4	1,2,3,4,5,6
wtx_ccB_off1	wtx_ccB_off1	1,2,3,4,5,6
wtx_ccB_off2	wtx_ccB_off2	1,2,3,4,5,6
wtx_ccB_off3	wtx_ccB_off3	1,2,3,4,5,6
wtx_ccB_off4	wtx_ccB_off4	1,2,3,4,5,6
camk2g1_off1	camk2g1_off1	1,2,3,4,5,6
camk2g1_off2	camk2g1_off2	1,2,3,4,5,6
camk2g1_off4	camk2g1_off4	1,2,3,4,5,6
gol_ccA_off1	gol_ccA_off1	1,2,3,4,5,6
gol_ccA_off2	gol_ccA_off2	1,2,3,4,5,6
gol_ccA_off4	gol_ccA_off4	1,2,3,4,5,6
lcr_multiplex	lcr_ccA,lcr_ccC	1,2
lcr_multiplex	lcr_ccA,lcr_ccD	3
lcr_multiplex	lcr_ccB,lcr_ccC	4,5
lcr_multiplex	lcr_ccB,lcr_ccD	6
hand2	hand2_ccA,hand2_ccB	1,2,3,4,5,6	
