cnsta	chr17	11952200	11952222	+	11952035	11952302
cnstb	chr20	35033531	35033553	-	35033414	35033660
cntn1a	chr25	13924	13946	+	13793	14039
cntn1b	chr4	12807075	12807097	+	12806957	12807211
cntn2	chr11	24886615	24886637	-	24886506	24886717
cntn3a	chr23	11869314	11869336	-	11869231	11869495
cntn3b	chr6	44589348	44589370	+	44589208	44589452
cntn4	chr6	45629256	45629278	+	45629152	45629407
cntn5	chr18	40756378	40756400	-	40756289	40756494
cntn6	chr6	45252884	45252906	+	45252679	45252981
cntnap1	chr3	36926083	36926105	-	36925967	36926180
CNTNAP2	chr2	51073247	51073269	-	51073088	51073347
cntnap2a	chr24	18375722	18375744	-	18375586	18375834
cntnap2b	chr2	50866444	50866466	+	50866353	50866590
cntnap4	chr10	2281476	2281498	+	2281338	2281585
CNTNAP5	chr11	34313843	34313865	+	34313697	34313961
cntnap5a	chr9	24559127	24559149	+	24558963	24559236
cntnap5b	chr22	13691464	13691486	-	13691374	13691600
gjd1a	chr5	38575136	38575158	+	38575001	38575246
gjd1a_off02	chr1	11462020	11462042	-	11461769	11462116
gjd1a_off01	chr6	160258	160280	-	160171	160446
gjd1a_off03	chr14	29236741	29236763	+	29236585	29236873
gjd1b	chr15	6519639	6519661	-	6519603	6519835
gjd2a_off01	chr6	39357610	39357632	+	39357447	39357713
nlgn1	chr11	10037650	10037672	+	10037575	10037841
nlgn2a	chr7	23300688	23300710	-	23300611	23300890
nlgn2b	chr10	22582378	22582400	-	22582270	22582489
nlgn3a	chr14	18215262	18215284	+	18215182	18215407
nlgn3b	chr5	24985975	24985997	-	24985860	24986115
nlgn4a	chr1	32080722	32080744	+	32080575	32080830
nlgn4b	chr9	57388498	57388520	+	57388404	57388660
nrxn1a_L	chr12	25855719	25855741	+	25855644	25855894
nrxn1a_S	chr12	26069251	26069273	+	26069124	26069399
nrxn1b_L	chr13	605420	605442	+	605255	605535
nrxn1b_S	chr13	646014	646036	+	645937	646192
nrxn2a_L	chr21	27629701	27629723	-	27629540	27629814
nrxn2a_S	chr21	27274826	27274848	-	27274750	27275018
nrxn2b_L	chr7	101109	101131	+	100997	101247
nrxn3a_L	chr17	17271515	17271537	+	17271394	17271670
nrxn3a_S	chr17	16960349	16960371	-	16960266	16960512
nrxn3b_L	chr20	5596006	5596028	+	5595924	5596216
nrxn3b_S	chr20	5854563	5854585	+	5854413	5854663
tjp1a_L	chr7	32418571	32418593	+	32418426	32418680
tjp1b_B	chr25	33213194	33213216	+	33212988	33213293
tjp1b_B_off01	chr16	9083294	9083316	+	9083189	9083449
tjp1b_L	chr25	33187092	33187114	+	33186979	33187213
tjp1b_L_off02	chr23	34177826	34177848	-	34177736	34177958
tjp2a	chr10	15869753	15869775	-	15869616	15869867
tjp2b	chr8	11995047	11995069	-	11994885	11995150
tjp3	chr22	17900867	17900889	-	17900715	17900980
gjd2b	chr20	10144464	10144486	-	10144317	10144569
gjd2a	chr17	51514080	51514102	-	51513969	51514181
nrxn2b_S	chr7	541466	541488	-	541347	541607
tjp1a_B	chr7	32442538	32442560	+	32442435	32442655
tjp1b_L_off01	chr7	58774094	58774116	+	58773972	58774222
